variable,"('G20', '')","('policy_id', 'nunique')","('policy_country_iso_code', '<lambda_0>')","('policy_country_iso_code', 'nunique')","('policy_start_date_analysis', 'p05')","('policy_start_date_analysis', 'p95')","('policy_start_date_analysis', 'median')","('em_share', 'unique')","('em_share', '<lambda_0>')","('variable', '')",name
g1,G20,50,"ARG,AUS,BRA,CAN,CHN,EUE,IDN,IND,JPN,KOR,MEX,RUS,TUR,ZAF",14,1998.45,2019.0,2011.0,"[0.32227831 0.10242006 0.03539057 0.01436959 0.05721199 0.03922099
 0.01235376 0.02241479 0.01710793 0.02024265 0.01448132 0.05736539
 0.09054632 0.01660751]",0.8220111849999999,g1,Climate strategy
g2,G20,40,"ARG,AUS,BRA,CAN,CHN,EUE,IDN,IND,JPN,KOR,MEX,RUS,SAU,TUR,ZAF",15,2008.85,2018.0,2015.0,"[0.32227831 0.10242006 0.03922099 0.01448132 0.01660751 0.02241479
 0.09054632 0.01710793 0.05721199 0.03539057 0.05736539 0.02024265
 0.01436959 0.01777788 0.01235376]",0.839789067,g2,GHG reduction target
g3,G20,17,"ARG,AUS,BRA,CHN,IDN,IND,JPN,KOR,MEX,RUS,TUR,ZAF",12,1997.8,2016.6,2008.0,"[0.03539057 0.03922099 0.01235376 0.02024265 0.01448132 0.05736539
 0.05721199 0.09054632 0.32227831 0.01710793 0.01436959 0.01660751]",0.697176335,g3,Coordinating body for climate strategy
g5,G20,174,"ARG,AUS,BRA,CAN,CHN,EUE,IDN,IND,JPN,KOR,MEX,RUS,SAU,TUR,USA,ZAF",16,1996.65,2016.0,2007.0,"[0.16021093 0.01660751 0.03539057 0.01436959 0.01710793 0.01235376
 0.10242006 0.03922099 0.02241479 0.32227831 0.02024265 0.01777788
 0.05721199 0.09054632 0.05736539 0.01448132]",1.0000000009999999,g5,Support for low-emission and negative emissions RD&D
g6,G20,13,"AUS,CHN,EUE,IDN,KOR,TUR",6,2009.0,2018.4,2014.0,[0.32227831 0.10242006 0.01710793 0.01436959 0.01660751 0.05736539],0.530148786,g6,Economy-wide energy efficiency target
g7,G20,17,"BRA,CHN,EUE,IDN,JPN,KOR,RUS,TUR",8,2004.0,2019.0,2014.0,"[0.32227831 0.10242006 0.01710793 0.05721199 0.05736539 0.01436959
 0.03539057 0.03922099]",0.6453648310000001,g7,Renewable target for primary energy
eh1,G20,68,"ARG,AUS,BRA,CAN,CHN,EUE,IDN,IND,JPN,KOR,MEX,RUS,SAU,TUR,USA,ZAF",16,1987.1,2019.0,2009.0,"[0.02024265 0.16021093 0.01436959 0.03539057 0.32227831 0.01777788
 0.03922099 0.01448132 0.01235376 0.10242006 0.01710793 0.05721199
 0.02241479 0.01660751 0.05736539 0.09054632]",1.0000000009999999,eh1,Support for highly efficient power plant stock
eh2,G20,5,"EUE,IND,USA,ZAF",4,2008.2,2016.0,2011.0,[0.16021093 0.10242006 0.01448132 0.09054632],0.367658642,eh2,Energy reduction obligation schemes
eh3,G20,46,"ARG,AUS,BRA,CHN,EUE,IDN,IND,JPN,KOR,MEX,RUS,SAU,TUR,ZAF",14,2007.25,2019.0,2015.0,"[0.03922099 0.03539057 0.01710793 0.01436959 0.32227831 0.05721199
 0.10242006 0.05736539 0.02024265 0.01448132 0.01235376 0.09054632
 0.01660751 0.01777788]",0.8173742789999999,eh3,Renewable energy target for electricity sector
eh4,G20,206,"ARG,AUS,BRA,CAN,CHN,EUE,IDN,IND,JPN,KOR,MEX,RUS,SAU,TUR,USA,ZAF",16,1999.0,2018.75,2011.0,"[0.32227831 0.03922099 0.02024265 0.09054632 0.01436959 0.03539057
 0.01710793 0.01235376 0.05736539 0.16021093 0.02241479 0.01448132
 0.01660751 0.05721199 0.10242006 0.01777788]",1.0000000009999999,eh4,Support scheme for renewables
