,sector,instrument,policy_country_iso_code,year
0,BuildingsSector,CodesStandards,10,2000
1,BuildingsSector,DirectInvestment,2,2000
2,BuildingsSector,FiscalFinancialIncentives,5,2000
3,BuildingsSector,Market-basedInstruments,2,2000
4,BuildingsSector,VoluntaryApproaches,5,2000
5,ElectricitySector,CodesStandards,9,2000
6,ElectricitySector,DirectInvestment,4,2000
7,ElectricitySector,FiscalFinancialIncentives,7,2000
8,ElectricitySector,Market-basedInstruments,3,2000
9,ElectricitySector,VoluntaryApproaches,5,2000
10,GeneralSector,CodesStandards,6,2000
11,GeneralSector,DirectInvestment,3,2000
12,GeneralSector,FiscalFinancialIncentives,2,2000
13,GeneralSector,Market-basedInstruments,1,2000
14,GeneralSector,VoluntaryApproaches,3,2000
15,IndustrySector,CodesStandards,11,2000
16,IndustrySector,DirectInvestment,3,2000
17,IndustrySector,FiscalFinancialIncentives,8,2000
18,IndustrySector,VoluntaryApproaches,4,2000
19,LandSector,CodesStandards,5,2000
20,LandSector,DirectInvestment,2,2000
21,LandSector,FiscalFinancialIncentives,6,2000
22,LandSector,VoluntaryApproaches,2,2000
23,TransportSector,CodesStandards,7,2000
24,TransportSector,DirectInvestment,2,2000
25,TransportSector,FiscalFinancialIncentives,7,2000
26,TransportSector,Market-basedInstruments,1,2000
27,TransportSector,VoluntaryApproaches,1,2000
0,BuildingsSector,CodesStandards,12,2001
1,BuildingsSector,DirectInvestment,2,2001
2,BuildingsSector,FiscalFinancialIncentives,6,2001
3,BuildingsSector,Market-basedInstruments,2,2001
4,BuildingsSector,VoluntaryApproaches,5,2001
5,ElectricitySector,CodesStandards,9,2001
6,ElectricitySector,DirectInvestment,5,2001
7,ElectricitySector,FiscalFinancialIncentives,10,2001
8,ElectricitySector,Market-basedInstruments,3,2001
9,ElectricitySector,VoluntaryApproaches,5,2001
10,GeneralSector,CodesStandards,7,2001
11,GeneralSector,DirectInvestment,4,2001
12,GeneralSector,FiscalFinancialIncentives,2,2001
13,GeneralSector,Market-basedInstruments,1,2001
14,GeneralSector,VoluntaryApproaches,4,2001
15,IndustrySector,CodesStandards,11,2001
16,IndustrySector,DirectInvestment,3,2001
17,IndustrySector,FiscalFinancialIncentives,8,2001
18,IndustrySector,VoluntaryApproaches,4,2001
19,LandSector,CodesStandards,6,2001
20,LandSector,DirectInvestment,3,2001
21,LandSector,FiscalFinancialIncentives,7,2001
22,LandSector,VoluntaryApproaches,2,2001
23,TransportSector,CodesStandards,8,2001
24,TransportSector,DirectInvestment,4,2001
25,TransportSector,FiscalFinancialIncentives,10,2001
26,TransportSector,Market-basedInstruments,1,2001
27,TransportSector,VoluntaryApproaches,1,2001
0,BuildingsSector,CodesStandards,13,2002
1,BuildingsSector,DirectInvestment,3,2002
2,BuildingsSector,FiscalFinancialIncentives,6,2002
3,BuildingsSector,Market-basedInstruments,2,2002
4,BuildingsSector,VoluntaryApproaches,5,2002
5,ElectricitySector,CodesStandards,9,2002
6,ElectricitySector,DirectInvestment,5,2002
7,ElectricitySector,FiscalFinancialIncentives,11,2002
8,ElectricitySector,Market-basedInstruments,3,2002
9,ElectricitySector,VoluntaryApproaches,5,2002
10,GeneralSector,CodesStandards,7,2002
11,GeneralSector,DirectInvestment,4,2002
12,GeneralSector,FiscalFinancialIncentives,2,2002
13,GeneralSector,Market-basedInstruments,1,2002
14,GeneralSector,VoluntaryApproaches,4,2002
15,IndustrySector,CodesStandards,11,2002
16,IndustrySector,DirectInvestment,3,2002
17,IndustrySector,FiscalFinancialIncentives,8,2002
18,IndustrySector,Market-basedInstruments,1,2002
19,IndustrySector,VoluntaryApproaches,6,2002
20,LandSector,CodesStandards,6,2002
21,LandSector,DirectInvestment,3,2002
22,LandSector,FiscalFinancialIncentives,7,2002
23,LandSector,VoluntaryApproaches,2,2002
24,TransportSector,CodesStandards,8,2002
25,TransportSector,DirectInvestment,4,2002
26,TransportSector,FiscalFinancialIncentives,11,2002
27,TransportSector,Market-basedInstruments,1,2002
28,TransportSector,VoluntaryApproaches,1,2002
0,BuildingsSector,CodesStandards,13,2003
1,BuildingsSector,DirectInvestment,3,2003
2,BuildingsSector,FiscalFinancialIncentives,7,2003
3,BuildingsSector,Market-basedInstruments,2,2003
4,BuildingsSector,VoluntaryApproaches,5,2003
5,ElectricitySector,CodesStandards,9,2003
6,ElectricitySector,DirectInvestment,5,2003
7,ElectricitySector,FiscalFinancialIncentives,11,2003
8,ElectricitySector,Market-basedInstruments,3,2003
9,ElectricitySector,VoluntaryApproaches,5,2003
10,GeneralSector,CodesStandards,7,2003
11,GeneralSector,DirectInvestment,5,2003
12,GeneralSector,FiscalFinancialIncentives,3,2003
13,GeneralSector,Market-basedInstruments,1,2003
14,GeneralSector,VoluntaryApproaches,4,2003
15,IndustrySector,CodesStandards,11,2003
16,IndustrySector,DirectInvestment,3,2003
17,IndustrySector,FiscalFinancialIncentives,8,2003
18,IndustrySector,Market-basedInstruments,1,2003
19,IndustrySector,VoluntaryApproaches,6,2003
20,LandSector,CodesStandards,7,2003
21,LandSector,DirectInvestment,3,2003
22,LandSector,FiscalFinancialIncentives,7,2003
23,LandSector,VoluntaryApproaches,2,2003
24,TransportSector,CodesStandards,9,2003
25,TransportSector,DirectInvestment,4,2003
26,TransportSector,FiscalFinancialIncentives,11,2003
27,TransportSector,Market-basedInstruments,1,2003
28,TransportSector,VoluntaryApproaches,2,2003
0,BuildingsSector,CodesStandards,13,2004
1,BuildingsSector,DirectInvestment,4,2004
2,BuildingsSector,FiscalFinancialIncentives,9,2004
3,BuildingsSector,Market-basedInstruments,2,2004
4,BuildingsSector,VoluntaryApproaches,5,2004
5,ElectricitySector,CodesStandards,9,2004
6,ElectricitySector,DirectInvestment,5,2004
7,ElectricitySector,FiscalFinancialIncentives,13,2004
8,ElectricitySector,Market-basedInstruments,4,2004
9,ElectricitySector,VoluntaryApproaches,5,2004
10,GeneralSector,CodesStandards,8,2004
11,GeneralSector,DirectInvestment,6,2004
12,GeneralSector,FiscalFinancialIncentives,4,2004
13,GeneralSector,Market-basedInstruments,4,2004
14,GeneralSector,VoluntaryApproaches,4,2004
15,IndustrySector,CodesStandards,11,2004
16,IndustrySector,DirectInvestment,4,2004
17,IndustrySector,FiscalFinancialIncentives,10,2004
18,IndustrySector,Market-basedInstruments,3,2004
19,IndustrySector,VoluntaryApproaches,6,2004
20,LandSector,CodesStandards,7,2004
21,LandSector,DirectInvestment,4,2004
22,LandSector,FiscalFinancialIncentives,7,2004
23,LandSector,VoluntaryApproaches,3,2004
24,TransportSector,CodesStandards,9,2004
25,TransportSector,DirectInvestment,5,2004
26,TransportSector,FiscalFinancialIncentives,11,2004
27,TransportSector,Market-basedInstruments,1,2004
28,TransportSector,VoluntaryApproaches,2,2004
0,BuildingsSector,CodesStandards,14,2005
1,BuildingsSector,DirectInvestment,4,2005
2,BuildingsSector,FiscalFinancialIncentives,10,2005
3,BuildingsSector,Market-basedInstruments,2,2005
4,BuildingsSector,VoluntaryApproaches,5,2005
5,ElectricitySector,CodesStandards,9,2005
6,ElectricitySector,DirectInvestment,7,2005
