policy_country_iso_code,year,N,F,Sp,B,C,N_policies_matrix,N_options,FiscalFinancialIncentives,Market-basedInstruments,CodesStandards,OtherRegulatoryInstruments,RDD,InformationEducation,VoluntaryApproaches,BarrierRemoval,ClimateStrategy,Target,DirectInvestment,SUM_instruments,Economic instruments,Regulatory instruments,Other instruments,SUM_instruments_IPCC
AFG,1990,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
AGO,1990,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
ALB,1990,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
ARE,1990,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
ARG,1990,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
ARM,1990,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
ATG,1990,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
AUS,1990,1,1.0,2.0,,0.02,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,1
AUT,1990,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
AZE,1990,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
BDI,1990,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
BEL,1990,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
BEN,1990,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
BFA,1990,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
BGD,1990,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
BGR,1990,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
BHR,1990,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
BHS,1990,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
BIH,1990,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
BLR,1990,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
BLZ,1990,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
BOL,1990,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
BRA,1990,1,5.0,1.0,,0.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,0.0,1
BRB,1990,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
BRN,1990,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
BTN,1990,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
BWA,1990,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
CAF,1990,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
CAN,1990,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
CHE,1990,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
CHL,1990,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
CHN,1990,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
CIV,1990,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
CMR,1990,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
COD,1990,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
COK,1990,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
COL,1990,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
CPV,1990,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
CRI,1990,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
CUB,1990,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
CYP,1990,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
CZE,1990,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
DEU,1990,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
DJI,1990,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
