Sector,PolicyInstrument,Policy[Country],2000,2005,2010,2015,2020
BuildingsSector,AnyPolicyInstrument,Argentina,0.012353761000000001,0.012353761000000001,0.012353761000000001,0.012353761000000001,0.012353761000000003
BuildingsSector,AnyPolicyInstrument,Australia,0.016607505,0.016607505,0.016607504999999998,0.016607504999999998,0.016607505000000005
BuildingsSector,AnyPolicyInstrument,Brazil,0.039220987,0.039220987,0.039220987,0.039220987,0.03922098699999999
BuildingsSector,AnyPolicyInstrument,Canada,0.022414787999999998,0.022414788,0.022414787999999995,0.022414787999999995,0.022414788000000005
BuildingsSector,AnyPolicyInstrument,China,0.32227831100000004,0.32227831100000004,0.322278311,0.322278311,0.32227831099999993
BuildingsSector,AnyPolicyInstrument,European Union (28),0.10242006199999999,0.10242006199999999,0.102420062,0.10242006199999999,0.10242006199999999
BuildingsSector,AnyPolicyInstrument,India,0.09054632300000001,0.09054632300000001,0.090546323,0.09054632300000001,0.09054632300000004
BuildingsSector,AnyPolicyInstrument,Indonesia,,0.05736539300000001,0.057365393,0.057365392999999994,0.057365393
BuildingsSector,AnyPolicyInstrument,Japan,0.035390569,0.03539056899999999,0.03539056899999999,0.03539056899999999,0.03539056899999999
BuildingsSector,AnyPolicyInstrument,Korea (South),0.017107928999999997,0.017107928999999997,0.017107928999999997,0.017107928999999997,0.017107929
BuildingsSector,AnyPolicyInstrument,Mexico,0.020242654,0.020242654,0.020242654,0.02024265400000001,0.020242654000000016
BuildingsSector,AnyPolicyInstrument,Russian Federation,0.057211994,0.05721199400000001,0.057211993999999995,0.057211994,0.057211993999999995
BuildingsSector,AnyPolicyInstrument,Saudi Arabia,,,0.017777882,0.017777882,0.017777882
BuildingsSector,AnyPolicyInstrument,South Africa,0.014481323,0.014481322999999999,0.014481323000000003,0.014481322999999999,0.014481322999999997
BuildingsSector,AnyPolicyInstrument,Turkey,0.014369586,0.014369585999999998,0.014369586000000002,0.014369586,0.014369586
BuildingsSector,AnyPolicyInstrument,United States of America,0.160210934,0.16021093400000005,0.1602109340000001,0.16021093400000014,0.16021093400000014
BuildingsSector,CodesStandards,Argentina,0.012353761000000001,0.012353761000000001,0.012353761000000001,0.012353761000000001,0.012353761
BuildingsSector,CodesStandards,Australia,0.016607505,0.016607505,0.016607504999999998,0.016607504999999998,0.016607504999999998
BuildingsSector,CodesStandards,Brazil,,0.039220987,0.039220987,0.039220987,0.039220987
BuildingsSector,CodesStandards,Canada,,,0.022414787999999998,0.022414787999999998,0.022414787999999995
BuildingsSector,CodesStandards,China,0.32227831100000004,0.32227831100000004,0.3222783110000001,0.3222783110000001,0.32227831100000004
BuildingsSector,CodesStandards,European Union (28),0.10242006199999999,0.10242006199999999,0.10242006199999999,0.102420062,0.10242006199999999
BuildingsSector,CodesStandards,India,0.09054632300000001,0.09054632300000001,0.090546323,0.090546323,0.090546323
BuildingsSector,CodesStandards,Indonesia,,0.057365393,0.057365393,0.057365393,0.057365392999999994
BuildingsSector,CodesStandards,Japan,0.035390569,0.035390569,0.035390569,0.03539056899999999,0.03539056899999999
